epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
1,0.3656,0.0510,0.3290,0.4669,0.8524,0.6127,0.5872,31
2,0.2617,0.0304,0.2394,0.4000,1.0252,0.5260,0.5017,32
3,0.2457,0.0260,0.2265,0.3796,1.0026,0.5342,0.5139,33
4,0.2349,0.0220,0.2183,0.3611,1.1933,0.4336,0.4147,32
5,0.2369,0.0229,0.2195,0.3660,1.3344,0.3853,0.3674,33
6,0.2306,0.0217,0.2139,0.3532,1.5389,0.3119,0.3058,32
7,0.2362,0.0244,0.2175,0.3627,1.6403,0.3247,0.3059,32
8,0.2288,0.0232,0.2107,0.3473,1.8567,0.2497,0.2402,32
9,0.2262,0.0248,0.2066,0.3355,2.1728,0.1919,0.1836,32
10,0.2228,0.0244,0.2036,0.3296,2.1599,0.2218,0.1994,32
11,0.2201,0.0243,0.2011,0.3206,2.0046,0.2598,0.2598,31
12,0.2235,0.0253,0.2037,0.3332,2.0225,0.2570,0.2556,31
13,0.2222,0.0256,0.2023,0.3298,2.0806,0.2647,0.2427,32
14,0.2182,0.0250,0.1980,0.3195,2.6694,0.1329,0.1270,32
15,0.2196,0.0260,0.1990,0.3241,2.3662,0.2051,0.1996,32
16,0.2133,0.0244,0.1936,0.3122,2.5614,0.1834,0.1696,32
17,0.2079,0.0260,0.1870,0.2993,2.6186,0.1916,0.1884,32
18,0.2055,0.0271,0.1839,0.2978,2.5718,0.1950,0.1658,32
19,0.2041,0.0293,0.1806,0.2900,2.9086,0.1162,0.1374,32
20,0.2010,0.0290,0.1778,0.2893,2.8250,0.1467,0.1185,32
21,0.1959,0.0286,0.1730,0.2778,2.8039,0.1496,0.1306,32
22,0.1876,0.0279,0.1651,0.2653,2.9647,0.1235,0.1052,32
23,0.1787,0.0273,0.1565,0.2513,3.0716,0.1027,0.1173,32
24,0.1702,0.0234,0.1507,0.2423,3.1255,0.1130,0.1179,33
25,0.1658,0.0228,0.1468,0.2318,3.0857,0.1484,0.1325,32
26,0.1598,0.0207,0.1426,0.2162,2.7568,0.1861,0.1932,32
27,0.1568,0.0208,0.1394,0.2064,2.8453,0.1638,0.1628,32
28,0.1516,0.0206,0.1336,0.1869,3.6242,0.0546,0.0560,32
29,0.1416,0.0172,0.1266,0.1742,2.9862,0.1248,0.1219,32
30,0.1353,0.0164,0.1200,0.1626,3.7741,0.0476,0.0476,32
31,0.1317,0.0151,0.1175,0.1626,3.6288,0.0471,0.0535,31
32,0.1306,0.0145,0.1167,0.1628,3.7980,0.0547,0.0546,32
33,0.1275,0.0138,0.1135,0.1526,4.3013,0.0422,0.0365,33
34,0.1289,0.0135,0.1150,0.1554,4.5339,0.0284,0.0249,32
35,0.1264,0.0144,0.1120,0.1531,4.3238,0.0251,0.0267,32
36,0.1269,0.0137,0.1128,0.1551,4.5067,0.0333,0.0323,32
37,0.1219,0.0133,0.1081,0.1468,4.5166,0.0328,0.0354,32
38,0.1278,0.0133,0.1140,0.1544,4.4396,0.0590,0.0485,32
39,0.1249,0.0141,0.1105,0.1498,4.5665,0.0333,0.0340,31
40,0.1231,0.0125,0.1098,0.1487,4.4764,0.0256,0.0264,32
41,0.1215,0.0117,0.1086,0.1472,4.6834,0.0262,0.0227,32
42,0.1195,0.0109,0.1077,0.1472,4.2432,0.0400,0.0418,33
43,0.1217,0.0129,0.1084,0.1447,4.3144,0.0480,0.0415,33
44,0.1175,0.0116,0.1054,0.1434,3.9727,0.0740,0.0671,32
45,0.1190,0.0125,0.1063,0.1458,3.9451,0.0594,0.0502,32
46,0.1175,0.0116,0.1052,0.1439,4.1757,0.0751,0.0687,32
47,0.1185,0.0125,0.1054,0.1412,4.3184,0.0433,0.0452,32
48,0.1141,0.0109,0.1018,0.1360,4.7440,0.0341,0.0351,32
49,0.1123,0.0103,0.1006,0.1317,4.4934,0.0583,0.0463,32
50,0.1147,0.0113,0.1026,0.1373,4.2108,0.0521,0.0544,31
51,0.1052,0.0095,0.0943,0.1225,4.2476,0.0661,0.0582,32
52,0.1078,0.0108,0.0955,0.1209,4.7181,0.0266,0.0259,32
53,0.1084,0.0106,0.0962,0.1224,4.6946,0.0394,0.0329,32
54,0.1041,0.0100,0.0921,0.1168,4.9781,0.0223,0.0213,32
55,0.1012,0.0109,0.0888,0.1109,4.7934,0.0322,0.0305,32
56,0.1016,0.0109,0.0892,0.1089,4.8265,0.0326,0.0290,32
57,0.1032,0.0125,0.0882,0.1079,6.2323,0.0090,0.0083,32
58,0.0991,0.0106,0.0868,0.1056,4.8328,0.0617,0.0582,32
59,0.0963,0.0118,0.0825,0.1010,5.5214,0.0149,0.0156,32
60,0.0970,0.0104,0.0839,0.0995,5.8145,0.0095,0.0118,33
61,0.0938,0.0107,0.0817,0.0987,4.5763,0.0665,0.0692,32
62,0.0947,0.0116,0.0822,0.0986,4.3789,0.0960,0.0800,32
