epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
81,0.0942,0.0084,0.0843,0.0879,3.9556,0.0805,0.0807,31
82,0.0954,0.0091,0.0853,0.0887,3.7262,0.1127,0.0929,31
83,0.0952,0.0091,0.0851,0.0882,3.7434,0.0812,0.0901,32
84,0.0973,0.0091,0.0859,0.0898,5.0155,0.0259,0.0188,31
85,0.0959,0.0087,0.0844,0.0861,5.3758,0.0173,0.0170,31
86,0.0949,0.0089,0.0842,0.0889,4.4436,0.0482,0.0422,30
87,0.0928,0.0085,0.0827,0.0852,4.0952,0.0496,0.0504,31
88,0.0966,0.0093,0.0858,0.0887,4.3038,0.0543,0.0473,32
89,0.0937,0.0076,0.0840,0.0865,4.3018,0.0438,0.0461,31
90,0.0940,0.0082,0.0842,0.0885,4.0553,0.0766,0.0730,31
91,0.0950,0.0090,0.0837,0.0843,5.0101,0.0241,0.0229,31
92,0.0941,0.0087,0.0831,0.0838,4.8809,0.0187,0.0225,31
93,0.0960,0.0101,0.0841,0.0851,4.8116,0.0633,0.0375,31
94,0.0925,0.0086,0.0825,0.0861,4.0506,0.0807,0.0884,31
95,0.0930,0.0083,0.0830,0.0850,4.1615,0.0670,0.0483,32
96,0.0927,0.0076,0.0837,0.0873,3.7327,0.0791,0.0857,32
97,0.0931,0.0083,0.0829,0.0863,4.3886,0.0414,0.0422,31
98,0.0911,0.0082,0.0816,0.0834,3.7940,0.0888,0.1001,31
99,0.0901,0.0077,0.0810,0.0828,3.7480,0.1057,0.0882,31
100,0.0894,0.0076,0.0799,0.0805,4.1694,0.0631,0.0508,31
101,0.0938,0.0077,0.0842,0.0864,4.2129,0.0401,0.0484,31
102,0.0915,0.0080,0.0819,0.0865,4.0819,0.0554,0.0487,31
103,0.0916,0.0083,0.0811,0.0828,4.6395,0.0269,0.0252,31
104,0.0895,0.0073,0.0800,0.0830,4.2931,0.0403,0.0469,31
105,0.0902,0.0072,0.0811,0.0836,4.0992,0.0908,0.0776,31
106,0.0923,0.0079,0.0825,0.0840,4.3622,0.0512,0.0538,31
107,0.0930,0.0076,0.0829,0.0847,4.6874,0.0436,0.0443,31
108,0.0906,0.0074,0.0814,0.0862,4.0559,0.0816,0.0737,31
109,0.0892,0.0070,0.0805,0.0835,3.9045,0.0844,0.0910,31
110,0.0922,0.0079,0.0827,0.0863,3.9763,0.0747,0.0826,31
111,0.1004,0.0142,0.0852,0.0867,5.2962,0.0246,0.0272,32
112,0.0915,0.0074,0.0819,0.0870,4.4400,0.0600,0.0459,32
113,0.0927,0.0069,0.0836,0.0868,4.1895,0.0519,0.0546,31
114,0.0913,0.0072,0.0816,0.0809,4.6026,0.0357,0.0370,31
115,0.0900,0.0073,0.0802,0.0829,4.6279,0.0534,0.0473,31
116,0.0911,0.0072,0.0810,0.0831,5.0326,0.0227,0.0239,32
117,0.0908,0.0075,0.0814,0.0800,4.1242,0.0495,0.0451,31
118,0.0876,0.0071,0.0779,0.0761,4.7951,0.0246,0.0202,31
119,0.0869,0.0073,0.0768,0.0736,4.9180,0.0307,0.0286,31
120,0.0853,0.0077,0.0748,0.0686,5.0518,0.0264,0.0220,31
121,0.0819,0.0065,0.0723,0.0640,5.0835,0.0419,0.0241,32
122,0.0817,0.0068,0.0726,0.0676,4.2896,0.0317,0.0427,31
123,0.0832,0.0066,0.0735,0.0664,5.0365,0.0428,0.0378,32
124,0.0794,0.0062,0.0696,0.0617,5.4401,0.0295,0.0226,32
125,0.0765,0.0064,0.0676,0.0590,4.4441,0.0416,0.0550,32
126,0.0773,0.0056,0.0694,0.0624,3.9350,0.0914,0.0855,31
127,0.0763,0.0057,0.0683,0.0613,3.9810,0.0941,0.0911,31
128,0.0775,0.0061,0.0685,0.0614,4.7048,0.0463,0.0400,31
129,0.0763,0.0054,0.0688,0.0632,3.7711,0.0904,0.0909,32
130,0.0770,0.0058,0.0687,0.0603,4.2764,0.0574,0.0513,32
131,0.0753,0.0061,0.0671,0.0580,3.9238,0.1300,0.1464,31
132,0.0752,0.0054,0.0675,0.0600,3.9507,0.0819,0.0903,31
133,0.0775,0.0056,0.0694,0.0625,4.1629,0.0760,0.0683,31
134,0.0748,0.0052,0.0664,0.0582,4.7757,0.0297,0.0308,31
135,0.0771,0.0049,0.0696,0.0600,4.1140,0.0580,0.0582,32
136,0.0764,0.0052,0.0679,0.0606,4.9184,0.0274,0.0194,31
137,0.0718,0.0048,0.0641,0.0565,4.3430,0.0819,0.0675,31
138,0.0756,0.0056,0.0677,0.0582,4.0149,0.0858,0.1015,31
139,0.0728,0.0048,0.0652,0.0572,4.2046,0.0365,0.0568,32
140,0.0755,0.0054,0.0676,0.0567,4.0566,0.0688,0.0628,31
141,0.0722,0.0050,0.0649,0.0564,3.7875,0.1050,0.0969,31
142,0.0699,0.0047,0.0629,0.0529,3.6936,0.0824,0.0828,32
143,0.0704,0.0049,0.0624,0.0506,4.4581,0.0647,0.0538,32
144,0.0670,0.0054,0.0590,0.0454,4.2500,0.0680,0.0622,31
145,0.0667,0.0055,0.0582,0.0421,4.5434,0.0322,0.0324,31
146,0.0646,0.0051,0.0563,0.0399,4.6886,0.0405,0.0269,31
147,0.0650,0.0059,0.0565,0.0402,4.3956,0.0597,0.0517,31
148,0.0656,0.0087,0.0549,0.0395,4.5683,0.0340,0.0392,31
149,0.0626,0.0055,0.0544,0.0378,4.4133,0.0600,0.0637,31
150,0.0599,0.0047,0.0521,0.0339,4.4599,0.0586,0.0506,31
151,0.0590,0.0055,0.0502,0.0310,4.9009,0.0255,0.0300,31
152,0.0561,0.0048,0.0482,0.0255,4.5710,0.0391,0.0410,31
153,0.0569,0.0049,0.0485,0.0269,5.0063,0.0199,0.0187,32
154,0.0531,0.0048,0.0447,0.0235,5.0897,0.0299,0.0280,31
155,0.0569,0.0053,0.0479,0.0264,5.3413,0.0231,0.0187,32
156,0.0515,0.0056,0.0425,0.0224,5.1010,0.0415,0.0332,31
157,0.0528,0.0053,0.0443,0.0233,4.8874,0.0235,0.0287,31
158,0.0514,0.0048,0.0435,0.0225,4.5788,0.0610,0.0395,31
159,0.0504,0.0054,0.0421,0.0216,4.4575,0.0651,0.0841,30
160,0.0488,0.0050,0.0416,0.0217,3.6980,0.1234,0.1162,31
161,0.0485,0.0048,0.0414,0.0200,3.7017,0.1310,0.1553,31
162,0.0486,0.0060,0.0399,0.0196,4.4573,0.0584,0.0493,32
163,0.0498,0.0047,0.0421,0.0222,4.4061,0.0536,0.0420,31
164,0.0480,0.0051,0.0402,0.0201,4.2658,0.0338,0.0362,32
165,0.0474,0.0045,0.0399,0.0200,4.3526,0.0337,0.0331,32
166,0.0477,0.0043,0.0407,0.0218,4.0889,0.0499,0.0506,31
167,0.0494,0.0053,0.0409,0.0197,4.8455,0.0382,0.0386,32
168,0.0472,0.0045,0.0399,0.0206,4.1574,0.0643,0.0627,31
169,0.0470,0.0048,0.0396,0.0193,3.9681,0.0459,0.0477,31
170,0.0482,0.0051,0.0403,0.0208,4.2901,0.0666,0.0466,31
171,0.0471,0.0052,0.0393,0.0197,4.2178,0.0380,0.0442,32
172,0.0452,0.0048,0.0378,0.0179,4.0759,0.0791,0.0512,31
173,0.0464,0.0048,0.0390,0.0178,4.0490,0.0801,0.1106,31
174,0.0465,0.0047,0.0389,0.0193,4.2657,0.0531,0.0486,31
175,0.0486,0.0047,0.0406,0.0202,4.6470,0.0534,0.0644,32
176,0.0454,0.0048,0.0379,0.0195,4.1484,0.0610,0.0511,31
177,0.0460,0.0050,0.0391,0.0190,3.3721,0.1339,0.1274,31
178,0.0471,0.0048,0.0396,0.0192,4.1171,0.0713,0.0704,32
179,0.0459,0.0042,0.0391,0.0202,3.8034,0.0813,0.0797,31
180,0.0446,0.0045,0.0374,0.0196,4.0368,0.0555,0.0633,31
