epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
1,0.3563,0.0402,0.3274,0.4939,0.7016,0.6863,0.6904,32
2,0.2608,0.0140,0.2503,0.4735,0.7223,0.6575,0.6770,32
3,0.2572,0.0117,0.2483,0.4656,0.7294,0.6682,0.6714,32
4,0.2568,0.0123,0.2474,0.4632,0.7663,0.6345,0.6514,33
5,0.2567,0.0137,0.2463,0.4566,0.8129,0.6361,0.6159,33
6,0.2553,0.0123,0.2459,0.4509,0.8208,0.6055,0.6212,32
7,0.2542,0.0109,0.2457,0.4516,0.8811,0.5874,0.5842,33
8,0.2531,0.0105,0.2449,0.4445,0.8863,0.5857,0.5985,32
9,0.2535,0.0103,0.2453,0.4491,0.9237,0.5884,0.5867,32
10,0.2535,0.0108,0.2450,0.4463,0.9177,0.5931,0.5813,33
11,0.2527,0.0105,0.2444,0.4477,0.9577,0.5317,0.5511,32
12,0.2547,0.0123,0.2451,0.4471,1.0772,0.4988,0.4903,32
13,0.2527,0.0104,0.2444,0.4465,1.0134,0.5409,0.5386,33
14,0.2526,0.0110,0.2439,0.4457,1.0582,0.5051,0.5012,31
15,0.2517,0.0093,0.2441,0.4422,1.0668,0.4912,0.5064,32
16,0.2512,0.0094,0.2435,0.4386,1.1083,0.4946,0.4985,33
17,0.2517,0.0095,0.2439,0.4420,1.1082,0.5131,0.5035,32
18,0.2520,0.0103,0.2437,0.4413,1.0636,0.5110,0.5354,32
19,0.2510,0.0099,0.2429,0.4368,1.1490,0.4789,0.4776,32
20,0.2513,0.0093,0.2437,0.4374,1.0738,0.5112,0.5119,33
21,0.2498,0.0080,0.2432,0.4384,1.0801,0.5316,0.5172,33
22,0.2504,0.0094,0.2428,0.4344,1.0593,0.5115,0.5294,32
23,0.2501,0.0093,0.2425,0.4319,1.0897,0.5148,0.5182,33
24,0.2490,0.0081,0.2422,0.4303,1.1083,0.5041,0.5106,32
25,0.2485,0.0077,0.2420,0.4295,1.1133,0.4996,0.5149,33
26,0.2498,0.0097,0.2420,0.4333,1.0633,0.5280,0.5458,33
